bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,147.50448614358902,0.4670089912189301,167.76489700948326,0.5619402288806203,181.95293433578212,5.680984437443623,108.40529018115504,1.7195596389889258,0.8792333126473473,0.7306669684019709,0.8106738519060057,5.700147504789324,1.360676087828331,1.7818481276245313,81.8402105693809
hexapdf,2835.5252043654523,0.9838985566318519,2590.5122517297664,0.7915770984957625,,,2208.744414895773,1.7636987579650096,1.094580889348075,1.262794786418289,,,1.2837724388764356,2.019576608744902,75.07883490480592
jekyll,8551.592072720328,1.9644816281114073,8102.355377500256,3.840971304284394,8418.114803234736,4.394584302945459,7569.944939141472,3.3540227491238204,1.055445197635687,4.31419153811272,1.0158559573735324,4.8136845828203025,1.1296769185867008,3.8869855503754263,82.34830722066232
liquid-render,178.3924452809757,1.6009458845465172,163.67799461404712,2.579269233589899,161.75094233944236,5.08157481141263,128.57710436589457,1.7952882332990883,1.0898987716804893,3.0357301435717003,1.1028834991675678,5.327797883669175,1.3874355481930947,2.4054287696518037,84.86938637879854
mail,160.31818290281555,0.5811640257648095,151.45982440183127,0.7556842982030859,161.8298994296271,1.5908764172958492,143.86352694228938,0.5687202806403224,1.0584865229836962,0.9533154689785803,0.9906586080066809,1.6937058185975618,1.1143768424857743,0.8131385997815914,98.33178798415197
psych-load,2199.342431128025,0.6126176380910827,1983.2996640354395,1.2226660910483345,2042.609669143955,0.331688760010531,1917.9995680848758,1.229959378511931,1.1089309754901089,1.36755721660913,1.076731626385454,0.6966475464807297,1.1466855716365307,1.3740816727144542,82.02604109850796
railsbench,2765.100760757923,1.0078996059681529,2917.978690812985,1.0152434309537588,3107.443392276764,1.2073836371989362,2177.868347490827,1.4207770506995043,0.9476082774228662,1.43058758550657,0.8898314182103209,1.5727799792362853,1.2696363230328684,1.7419727447652962,81.71979214987093
binarytrees,367.88255699920927,0.1444627444721821,233.3164589971989,0.11676624246316804,235.9570613366434,0.19386147423737454,283.79046906256815,0.17105691833455774,1.5767535585803911,0.18575209263801667,1.559108063624957,0.241767979132728,1.296317519804025,0.2238971948251039,84.26576702014798
erubi,439.31081237233417,1.416127971863482,436.82490308217854,3.0991351953013786,404.64624507846884,1.6950436497347459,434.7590057141319,0.8521863679407994,1.0056908598218999,3.4073534291954357,1.0856663510794304,2.2087533604276115,1.0104697236822628,1.6527673878674856,5.623644773315232
erubi_rails,42.52819564960063,5.925742729772382,52.27875612366824,5.062074945224511,43.31799369937461,4.137910817301984,36.48804723275052,16.246027066353808,0.8134890499115525,7.7935248540387665,0.9817674369857674,7.227498379895703,1.1655377274185468,17.292999229172214,82.87582026316822
fannkuchredux,5521.4963258554535,0.07409836928207518,4063.415906826655,0.8420259644823286,5440.035443132122,0.03654091684368516,5446.889277795951,0.0982569526813207,1.3588312032197298,0.8452800087501529,1.0149743294092273,0.08261844185192489,1.0136971846230904,0.12306501160151927,0.019727843241268802
lee,1019.3340008935103,1.3786928507872733,921.2008131524691,0.6585077893220996,823.5076776920603,1.706959254291206,731.8694936111569,1.753495586526733,1.1065274653907617,1.527883007762642,1.2377953824914754,2.1941977742724856,1.392781103450506,2.2305920175551313,99.9284742145395
nbody,102.61720748977703,0.06192358120675215,61.49112069380214,0.8139256651605551,58.45992982235045,0.04915760918923978,74.14876798178717,0.03859462933485538,1.6688134210590198,0.8162778438231197,1.7553426389941427,0.07906326865663511,1.3839367838853698,0.07296626153890651,99.99984124282486
optcarrot,5104.170176262657,0.5332088185642614,2227.8065860271454,0.7663561005795808,2143.183203538259,0.7238656830966592,3227.857559795181,0.7635049851094419,2.2911190802092656,0.9336023334858563,2.3815836965481987,0.8990512618086293,1.5812873033302421,0.931263392645531,96.12952232767728
