bench,No JIT (ms),No JIT RSD,MJIT3.0 (ms),MJIT3.0 RSD,MJIT3.1 (ms),MJIT3.1 RSD,YJIT (ms),YJIT RSD,MJIT3.0 spd,MJIT3.0 spd RSD,MJIT3.1 spd,MJIT3.1 spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,146.15302177591494,0.2290701251065201,163.04081840359646,0.6441852490960143,168.03690990554574,4.54505703399521,106.00495621885942,1.6037281925263684,0.8964198242315189,0.6837015118962447,0.8697673734780541,4.550825921136256,1.3787376268913807,1.6200053202752793,81.84017799566668
hexapdf,2826.129705334703,0.9047165901179953,2625.064034884175,2.0923235779854052,,,2163.5926178346076,1.134021186058579,1.0765945774192893,2.2795460213446845,,,1.3062208116439145,1.4506950606052391,75.0788315359203
jekyll,8389.42603804171,1.7721998985754852,7956.0191081215935,3.65284964781271,8248.076817020774,4.5116271680497935,7473.918199539185,3.0820400416211378,1.0544753505528526,4.060049633937545,1.017137233825132,4.847212826356602,1.122493692606774,3.5552304142863913,82.34831451923341
liquid-render,170.21818255945558,1.1531274183969218,158.52387994527817,2.200729909503575,159.13550221631604,4.6108833823051025,124.68888190004134,1.6205899925174163,1.0737699747080014,2.484535163293602,1.0696430412371127,4.752888427922129,1.3651432266103203,1.9889732946689727,84.86936587133546
mail,156.56788845499642,0.3698619087122676,147.85267171456658,0.7177790606985819,159.38656557378152,1.4468793793557027,140.74486372121376,0.27547633671307165,1.0589452773451047,0.807468025059581,0.9823154661207609,1.4934047575660878,1.1124234612577037,0.4611778871597546,98.33083838288239
psych-load,2069.772108271718,0.26856120695838426,1947.5497481723626,0.54268073970311,1937.6843594014645,0.41666930560438814,1712.3122832427423,0.06101884995300815,1.0627569900147877,0.6054977350309898,1.0681678356071649,0.4957201146975853,1.2087585474490818,0.2754059221086791,82.02613923751674
railsbench,2742.7971555540958,1.7739392037085358,2831.9136751194796,1.2477768517030192,2990.735741828879,1.015205284381357,2075.589537496368,1.3613316084619305,0.9685313431873505,2.168826265540874,0.9170977954330511,2.043893849467214,1.3214545101545134,2.236086770823445,81.7197640698735
binarytrees,374.8395367361167,0.07683779771645227,225.71537812404773,4.786452568185632,247.82834717017764,0.08585179147672978,290.9227097297416,0.08095834527444314,1.660673454557952,4.787069274059938,1.5124966171796466,0.11521535165800749,1.2884505891077782,0.11161675872148585,84.26576670287305
erubi,408.96045884155495,0.8834839035991309,405.90334774888294,1.2526259767974004,377.6940466950134,0.5977857278277828,408.36346575192044,0.9317896301310012,1.0075316232537292,1.532845603988347,1.0827823801305214,1.0667200121462757,1.0014619160128226,1.2840466201577054,5.623644773315232
erubi_rails,38.66931313417689,3.5609858681167257,48.40949112821343,6.069751051235943,41.97321876706759,4.425584978227899,33.54822037007361,6.531881202829339,0.7987961086341622,7.037222333911787,0.921285387922573,5.6803541044941435,1.1526487160156937,7.439495439934237,82.99687453561896
fannkuchredux,5461.317772169908,0.2019015882041078,3955.1814194768667,0.18630816545305964,5500.009115412831,0.10614810895009508,5628.331171472867,0.2772875329800996,1.380800826297432,0.27472710793408384,0.9929652219785422,0.2281045206764267,0.9703263020219093,0.3430052875183281,0.019793325329729924
lee,1017.9707592146265,1.2213576108039894,918.0742309049324,0.6902778541503952,828.7745857680285,1.3730751215421662,755.599225560824,1.9136656217728962,1.1088109489918125,1.4029247768142465,1.2282842363840938,1.8376750808744358,1.3472363718465485,2.270204952294897,99.9284389857802
nbody,102.3375769118555,0.09222517026155871,60.53770071015372,0.5435662695610376,58.51580025573746,0.047044499435955206,74.62805103815613,0.10012492064730413,1.6904767725129488,0.5513345367689894,1.7488879322268405,0.10353099515098406,1.3713017489835282,0.136126712163346,99.99984124282486
optcarrot,5089.565957585971,0.47525630358086873,2191.445923348268,0.5816699178200067,2150.9102903306484,0.6398147009050518,3111.9618450601897,0.6234186982571733,2.3224693355926944,0.7511381014101762,2.3662381366930827,0.7970140560790454,1.6354846913258128,0.783912895307903,96.12952232767728
rubykon,10439.437390863895,0.4076956675808336,6482.217510665457,0.6443525402074743,6885.629692052801,0.4440409119649886,5584.771154324214,0.9115699647465515,1.610473171208381,0.7624998055317828,1.5161194920070706,0.6028167954386144,1.8692686060700585,0.9985867804012883,99.68024063983663
