bench,No JIT (ms),No JIT RSD,MJIT (ms),MJIT RSD,YJIT (ms),YJIT RSD,MJIT spd,MJIT spd RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,153.28823337804968,0.3528706322394966,188.81379946603278,3.9594299399043122,113.40355572401215,0.48604910971544407,0.8118486774353901,3.975123033581196,1.3517057062223343,0.6006341816382729,81.8406283296161
hexapdf,3195.3738788453243,0.6969035719023071,,,2362.156983589133,1.9339681012712504,,,1.3527356145442022,2.0557011468754207,81.29602051338163
liquid-render,193.28418388986626,1.1333540264958921,185.4673673858484,1.4695640709173945,126.7455835074473,1.8688324909940424,1.042146586831934,1.8558313252841048,1.5249776642395536,2.1856409194489035,84.98756565123531
mail,189.70246788775248,0.11222545089417597,176.22925350517636,1.7124700896658673,160.60227077198965,0.3422176198001665,1.0764527688485066,1.7161434554921757,1.181194182223469,0.3601492067603265,99.02726260776824
psych-load,2518.5829971296093,0.03348546945648596,2412.1967645051577,0.047282369447435184,2072.7168548852205,0.04558715983314156,1.044103463776213,0.05793875322515152,1.2151119392856384,0.056563820648658884,82.02557104182841
railsbench,2835.1567096076906,0.8275157023039617,3169.709785965582,1.127763734976221,2206.0277769962945,1.3766687166013063,0.894453089100087,1.398797083027819,1.285186315046319,1.6062375269020168,81.80509064783716
binarytrees,445.8518911800955,0.0734501399136403,290.6009150614989,0.32533363427646206,336.6998207984843,0.16291475764851462,1.5342411811942898,0.3335219582649156,1.3241821457545087,0.1787068586065112,84.26576428218941
chunky_png,975.7778925200304,0.036544650908873974,796.2509780811766,0.2918904189577257,670.0973336584866,0.10494378448022053,1.22546523568672,0.29416921693026976,1.4561733699082782,0.11112474706869949,99.93888283960874
discourse,570.1829654109829,4.913455151393134,597.5770752274376,12.146946992476828,741.4836665779791,13.758992324679388,0.9541580309016564,13.103066922014616,0.7689757591592462,14.609993542617945,70.15359841925962
erubi,467.9058721546638,0.5560413953130912,450.7704678566215,0.7348763865429074,420.76106589446044,0.811104169829363,1.0380135912175432,0.9215342298580611,1.1120465035422948,0.983398193824002,99.99951501240182
erubi_rails,27.547444807720687,2.6687989461996136,28.902179476073954,4.081854433423825,21.607360691134392,3.268133876997856,0.9531269027834127,4.876886653480671,1.274910212380707,4.219382283370067,83.82259727847945
fannkuchredux,7324.260298969845,0.22518940678555946,3782.5860192378364,0.12175757583200135,6996.275600759934,0.23638503881100995,1.9363103077416943,0.25599839101236116,1.0468798996675155,0.3264784150631016,0.01268539611454686
lee,1235.9318592246962,0.7902772012399714,1019.0404438286681,2.756053683583968,889.6902674724432,1.2134425257347434,1.2128388688687748,2.8671187561027955,1.3891709333135729,1.4480955831923512,99.94287519341528
nbody,128.66576226972515,0.07087809013625046,70.39100038622257,0.06430565665892325,87.45199141853398,0.45854454459445143,1.827872335437195,0.0957022525319951,1.4712730971893753,0.46399008937551167,99.99983459263396
optcarrot,6296.622723309944,0.4345857759996786,2578.707010516276,0.5877024664046128,3571.7769575926163,0.5899150123920404,2.441775160043992,0.7309302194596334,1.7628823966527514,0.7327103920013309,96.12826837230394
rubykon,11977.25689749544,0.37913047574517017,7709.105154996117,0.35736030571159205,6407.5000357503695,0.3512151923484506,1.5536507359395946,0.5210050918532769,1.869255845597948,0.5168094706708829,99.8202301701788
30k_ifelse,2312.000013405288,0.02729901328087606,3583.4571091119537,3.7101765327205602,354.73427363586694,0.16617368651955422,0.6451870199663821,3.710276962718076,6.517554646491658,0.16840109921734042,99.99628272600351
30k_methods,6516.522273717617,0.010570417792426973,10194.032094970515,16.627485546182434,881.1963587703013,0.054156882140956854,0.6392487499556441,16.62748890609277,7.395085339221492,0.05517881491601598,99.99831469503668
cfunc_itself,107.96838183463974,0.18364071334096432,70.30852355951951,0.9838740563303747,45.0355255457742,0.9694131626355266,1.535637165574091,1.0008656604741535,2.3974047271836643,0.9866538356928393,99.99976058773562
fib,247.20533631189028,0.1334996879231453,86.12592101417249,0.03168289610775156,62.484434578800574,0.5574773756054523,2.8702779999439576,0.13720777157782194,3.9562706773017826,0.5732392092203042,99.99995116528333
getivar,119.2078968234735,0.13159584869139107,25.157434787929244,64.59868813439829,42.55493019631355,0.6690235157943832,4.738475835408724,64.59882217310656,2.801271116496867,0.6818430406469548,99.24006592924536
keyword_args,286.5796025060117,0.1119208450691301,229.7235441158215,0.20963427291104803,53.98534352580706,0.6508739786981222,1.2474977417270066,0.23764007225199202,5.308470480863305,0.6604265377067399,99.99991139711368
respond_to,277.78887149293485,0.14042093063879887,229.70606087177407,0.46127383472635114,196.23099030543338,0.4855060682334402,1.2093232126252056,0.48217381551119043,1.4156218192679795,0.5054049663912695,99.99981620270856
setivar,75.91620856794515,0.20284648044002376,10.483765397201326,93.77121320353324,53.18857665687206,0.6454719276200632,7.241311274307151,93.77143260267016,1.4273028785427488,0.6765949334516665,99.56402623523329
